nodeA,nodeB,Type
1836147,Linux,containPlat
1836147,win,containPlat
787576,CE,containPlat
1145,GNU,containPlat
29623420,Android,containPlat
29623420,CE,containPlat
29623420,android,containPlat
3146878,CE,containPlat
3146878,win,containPlat
1151,CE,containPlat
1151,win,containPlat
6816893,Android,containPlat
6816893,win,containPlat
24904842,Android,containPlat
33031307,Windows Phone,containPlat
33031307,iOS,containPlat
33031307,Win,containPlat
33031307,win,containPlat
33031307,Windows,containPlat
33031307,Window,containPlat
33031307,CE,containPlat
18089101,CE,containPlat
18089101,win,containPlat
22807699,Android,containPlat
7079066,CE,containPlat
7079066,win,containPlat
19661978,CE,containPlat
1182,CE,containPlat
1182,win,containPlat
263343,iOS,containPlat
263343,Mac OS X,containPlat
263343,ios,containPlat
263343,mac,containPlat
263343,OSX,containPlat
263343,GNU,containPlat
263343,Mac,containPlat
263343,MacOS,containPlat
263343,OS X,containPlat
263343,Mac OS,containPlat
26215615,Android,containPlat
26215615,CE,containPlat
26215615,Android Wear,containPlat
26215615,android,containPlat
1227,CE,containPlat
31196383,Android,containPlat
31196383,mac,containPlat
31196383,CE,containPlat
31196383,android,containPlat
9438436,CE,containPlat
9438436,win,containPlat
2622698,iOS,containPlat
2622698,Linux,containPlat
2622698,Android,containPlat
2622698,Unix,containPlat
2622698,Win,containPlat
2622698,win,containPlat
2622698,OSX,containPlat
2622698,Windows,containPlat
2622698,Window,containPlat
2622698,android,containPlat
1267,mac,containPlat
1267,ubuntu,containPlat
1267,win,containPlat
1273,iOS,containPlat
1273,Mac OS X,containPlat
1273,macOS,containPlat
1273,mac,containPlat
1273,win,containPlat
1273,Mac,containPlat
1273,CE,containPlat
1273,Mac OS,containPlat
1273,OS X,containPlat
1287,OSX,containPlat
1287,debian,containPlat
9700615,iOS,containPlat
9700615,ios,containPlat
9700615,Android,containPlat
9700615,win,containPlat
9700615,android,containPlat
1297,win,containPlat
1305,iOS,containPlat
1305,win,containPlat
1305,ios,containPlat
1312,CE,containPlat
1312,win,containPlat
5506336,CE,containPlat
5506336,win,containPlat
4719910,win,containPlat
4719910,debian,containPlat
1321,CE,containPlat
1321,win,containPlat
1321,ios,containPlat
1327,GNU,containPlat
1327,mac,containPlat
1327,Mac,containPlat
1327,win,containPlat
7865651,iOS,containPlat
7865651,Linux,containPlat
7865651,macOS,containPlat
7865651,Android,containPlat
