NodeA,id,Type
8109,13403042,mention
8109,13403042,mention
25173953,13403042,mention
25173953,13403042,mention
8348,13403042,mention
8348,13403042,mention
16785824,13403042,mention
16786013,13403042,mention
13640316,13403042,mention
17834878,13403042,mention
17834878,13403042,mention
17834956,13403042,mention
22029287,13403042,mention
9200,13403042,mention
21243427,13403042,mention
9962,13403042,mention
9962,13403042,mention
29108005,13403042,mention
29108005,13403042,mention
10234074,13403042,mention
10234074,13403042,mention
10234074,13403042,mention
21244351,13403042,mention
21244351,13403042,mention
30157735,13403042,mention
30157735,13403042,mention
30157735,13403042,mention
30157735,13403042,mention
2632694,13403042,mention
12594279,13403042,mention
21507739,13403042,mention
21507739,13403042,mention
4730679,13403042,mention
12726,13403042,mention
12726,13403042,mention
13043,13403042,mention
22033188,13403042,mention
10761212,13403042,mention
20985111,13403042,mention
21771742,13403042,mention
21771742,13403042,mention
24131438,13403042,mention
13645883,13403042,mention
7092686,13403042,mention
7092686,13403042,mention
18364907,13403042,mention
29112833,13403042,mention
29112833,13403042,mention
34881297,13403042,mention
34881297,13403042,mention
40386583,13403042,mention
20725845,13403042,mention
4473507,13403042,mention
17126,13403042,mention
17270,13403042,mention
12338660,13403042,mention
12338850,13403042,mention
12338850,13403042,mention
10766377,13403042,mention
10505478,13403042,mention
19903,13403042,mention
27545218,13403042,mention
6312005,13403042,mention
10768582,13403042,mention
24924401,13403042,mention
24924401,13403042,mention
29119038,13403042,mention
9720529,13403042,mention
9720529,13403042,mention
24925061,13403042,mention
24925061,13403042,mention
24925061,13403042,mention
26497983,13403042,mention
15225803,13403042,mention
22041598,13403042,mention
22041815,13403042,mention
22041815,13403042,mention
21772,13403042,mention
34363154,13403042,mention
28071755,13403042,mention
28071755,13403042,mention
22042545,13403042,mention
22042545,13403042,mention
22043208,13403042,mention
22043208,13403042,mention
22043208,13403042,mention
22043388,13403042,mention
22043388,13403042,mention
29121323,13403042,mention
14965556,13403042,mention
21519347,13403042,mention
11033744,13403042,mention
29121765,13403042,mention
29121765,13403042,mention
12344578,13403042,mention
15490638,13403042,mention
3169885,13403042,mention
3169885,13403042,mention
22044365,13403042,mention
22044365,13403042,mention
12607506,13403042,mention
12607506,13403042,mention
26501195,13403042,mention
22044770,13403042,mention
